"年度","月份","有線寬頻帳號-ADSL","有線寬頻帳號-FTTX","有線寬頻帳號-Cable Modem","有線寬頻帳號-固接專線","無線寬頻帳號-PWLAN","總計"
"96","1","4011719","0","409956","29601","54008","4505284"
"96","2","4031845","0","408855","32001","54863","4527564"
"96","3","4061554","0","406252","32039","54678","4554523"
"96","4","4070571","0","405125","28238","55658","4559592"
"96","5","4077189","0","400569","31457","55586","4564801"
"96","6","4084238","0","400235","31373","56675","4572521"
"96","7","4093260","0","398214","30206","57127","4578807"
"96","8","3718854","381033","421563","29884","55886","4607220"
"96","9","3704675","407528","422302","29600","54898","4619003"
"96","10","3765713","447174","469600","25940","53109","4761536"
"96","11","3724153","478546","458991","30205","49750","4741645"
"96","12","3657261","554966","502629","29877","48956","4793689"
"97","1","3630686","583411","519584","30247","49691","4813619"
"97","2","3607134","609082","515276","48566","48900","4828958"
"97","3","3558825","651759","535713","49396","48643","4844336"
"97","4","3514478","707881","537029","49278","47988","4856654"
"97","5","3363883","904302","569993","50171","52806","4941155"
"97","6","3308905","936879","583023","51075","53402","4933284"
"97","7","3292282","993670","590023","36117","53056","4965148"
"97","8","3216422","1054956","601458","32217","53279","4958332"
"97","9","3152857","1121329","613649","34526","53962","4976323"
"97","10","3142295","1143837","626015","33504","54185","4999836"
"97","11","3084627","1209583","634411","32527","56898","5018046"
"97","12","3026166","1259041","648910","34003","56254","5024374"
"98","1","3008953","1302647","667105","33640","57896","5070241"
"98","2","2960679","1329901","678903","33465","58631","5061579"
"98","3","2907898","1379720","680375","33385","56428","5057806"
"98","4","2942793","1191864","715876","29315","50106","4929954"
"98","5","2884737","1216759","726868","29013","51117","4908494"
"98","6","2866487","1276701","740462","26312","52057","4962019"
"98","7","2810711","1322232","754864","24302","51966","4964075"
"98","8","2808107","1371011","766457","23143","52956","5021674"
"98","9","2728103","1424287","777439","21193","53431","5004453"
"98","10","2677997","1463590","783631","20494","53685","4999397"
"98","11","2629690","1498565","796726","20375","53699","4999055"
"98","12","2581593","1532164","810034","19874","54050","4997715"
"99","1","2549349","1559676","821787","17921","54906","5003639"
"99","2","2536960","1584559","831451","17778","54553","5025301"
"99","3","2467501","1620864","843408","19009","56310","5007092"
"99","4","2461351","1655335","852871","20157","57530","5047244"
"99","5","2436237","1688541","863372","19007","58459","5065616"
"99","6","2386976","1719475","874813","19266","47874","5048404"
"99","7","2359075","1752984","887679","19482","49533","5068753"
"99","8","2335212","1783065","897502","19371","49073","5084223"
"99","9","2345997","1811392","905830","19891","47142","5130252"
"99","10","2411942","1909185","912581","17822","46938","5298468"
"99","11","2395257","1931383","920392","18867","46094","5311993"
"99","12","2360485","1957840","927637","19064","46573","5311599"
"100","1","2342438","1988718","939219","19024","46412","5335811"
"100","2","2331191","2006530","945657","20859","49881","5354118"
"100","3","2316204","2037404","952142","22053","52097","5379900"
"100","4","2301111","2056045","960686","21340","52428","5391610"
"100","5","2268606","2081579","968698","21254","53093","5393230"
"100","6","2226046","2105204","977224","21661","53982","5384117"
"100","7","2197776","2146301","987348","22318","54786","5408529"
"100","8","2168222","2187098","988126","22195","55649","5421290"
"100","9","2168804","2220287","999668","22733","54221","5465713"
