年月,ADSL_固網（有線）寬頻帳號數,FTTX_固網（有線）寬頻帳號數,Cable_Modem固網（有線）寬頻帳號數,Leased_Line_固網（有線）寬頻帳號數,小計_固網（有線）寬頻帳號數,行動寬頻_無線寬頻帳號數,PWLAN_無線寬頻帳號數,小計_無線寬頻帳號數,合計_寬頻帳號數,Data+Voice_實際行動寬頻上網帳號數,Data only_實際行動寬頻上網帳號數,合計_實際行動寬頻上網帳號數
115/4,200356,4672440,2469678,1276,7343750,28353950,481417,28835367,36179117,27160892,428622,27589514
115/3,201172,4653551,2462359,1274,7318356,28334166,468975,28803141,36121497,27160836,429843,27590679
115/2,202557,4616492,2477415,1282,7297746,28316055,255941,28571996,35869742,27120916,435040,27555956
115/1,203259,4609993,2470686,1284,7285222,28295163,501406,28796569,36081791,27105428,440983,27546411
114/12,204471,4602448,2460487,1287,7268693,28319262,513970,28833232,36101925,27191922,447350,27639272
114/11,205727,4591679,2455385,1293,7254084,28422078,516571,28938649,36192733,27195978,455731,27651709
114/10,207065,4580590,2446828,1296,7235779,28466617,521803,28988420,36224199,27231356,459659,27691015
114/9,208126,4570915,2438945,1305,7219291,28561651,548633,29110284,36329575,27310557,464085,27774642
114/8,209465,4563003,2431743,1170,7205381,28633640,567677,29201317,36406698,27275756,466239,27741995
114/7,210632,4550388,2424132,1194,7186346,28681802,563465,29245267,36431613,27240563,469999,27710562
114/6,223068,4539567,2415480,1169,7179284,28738625,561775,29300400,36479684,27311682,473758,27785440
114/5,224599,4528582,2406124,1168,7160473,28701171,563310,29264481,36424954,27297738,478708,27776446
114/4,226396,4510342,2397484,1166,7135388,28738095,502873,29240968,36376356,27357144,483940,27841084
114/3,228311,4496151,2393098,1183,7118743,28794809,503746,29298555,36417298,27412089,484570,27896659
114/2,230116,4483962,2383783,1177,7099038,28906046,505417,29411463,36510501,27432280,491163,27923443
114/1,231550,4476311,2376660,1181,7085702,29220456,551418,29771874,36857576,27466011,494404,27960415
113/12,231967,4464296,2367852,1194,7065309,29694287,641669,30335956,37401265,27528309,497131,28025440
113/11,233628,4453406,2360938,1200,7049172,29692926,696318,30389244,37438416,27550241,503440,28053681
113/10,234543,4441764,2351527,1198,7029032,29673207,792177,30465384,37494416,27556534,508575,28065109
113/9,235820,4428940,2343618,1205,7009583,29689772,979892,30669664,37679247,27592630,513166,28105796
113/8,237177,4416293,2334104,1212,6988786,29768367,1260208,31028575,38017361,27688009,516245,28204254
113/7,238613,4404190,2327058,1203,6971064,29776118,1026711,30802829,37773893,27724809,519827,28244636
113/6,239985,4389070,2318498,1191,6948744,29732425,1005770,30738195,37686939,27698982,522188,28221170
113/5,241120,4376342,2307701,1190,6926353,29663934,982629,30646563,37572916,27629169,525048,28154217
113/4,232247,4293491,2300464,1190,6827392,29676781,923715,30600496,37427888,27648162,532955,28181117
113/3,233551,4284294,2292904,1201,6811950,29719439,890369,30609808,37421758,27679565,546269,28225834
113/2,235289,4275154,2284021,1206,6795670,29729584,737852,30467436,37263106,27671244,554403,28225647
113/1,236470,4266487,2277657,1213,6781827,29811936,817919,30629855,37411682,27746144,559913,28306057
112/12,238146,4250974,2267525,1213,6757858,29852311,822437,30674748,37432606,27786974,563708,28350682
112/11,238195,4239682,2260124,1218,6739219,30071443,728753,30800196,37539415,27643482,581219,28224701
112/10,239408,4228397,2254293,1216,6723314,30061781,685488,30747269,37470583,27613092,586375,28199467
112/9,241628,4216359,2248080,1234,6707301,30106895,644753,30751648,37458949,27629423,590671,28220094
112/8,242576,4205626,2241009,1245,6690456,30118490,624679,30743169,37433625,27618960,595433,28214393
112/7,243839,4187934,2233407,1255,6666435,30111502,583279,30694781,37361216,27595803,601784,28197587
112/6,245464,4177300,2225564,1265,6649593,30145958,513918,30659876,37309469,27612818,611602,28224420
112/5,246749,4167288,2216148,1265,6631450,30182237,501056,30683293,37314743,27630562,618016,28248578
112/4,249236,4151877,2207039,1260,6609412,30213067,506356,30719423,37328835,27652823,625582,28278405
112/3,250701,4142979,2196678,1297,6591655,30167265,498189,30665454,37257109,27618326,625587,28243913
112/2,252840,4138698,2186942,1278,6579758,30135159,496632,30631791,37211549,27584982,627531,28212513
112/1,254730,4132002,2178214,1278,6566224,30112241,492057,30604298,37170522,27587262,626894,28214156
111/12,256111,4124523,2168181,1284,6550099,30147495,535439,30682934,37233033,27625923,626035,28251958
111/11,256717,4115956,2156883,1302,6530858,30077839,511676,30589515,37120373,27561106,624452,28185558
111/10,256780,4099553,2142432,1311,6500076,29992529,510029,30502558,37002634,27486872,626893,28113765
111/9,256871,4101287,2132577,1310,6492045,29941740,478631,30420371,36912416,27442076,631293,28073369
111/8,256658,4092686,2120101,1321,6470766,29872838,493919,30366757,36837523,27390499,628966,28019465
111/7,257241,4081225,2107015,1327,6446808,29802517,433410,30235927,36682735,27347411,627478,27974889
111/6,257356,4066467,2090827,1344,6415994,29752418,331503,30083921,36499915,27316870,628737,27945607
111/5,257884,4053569,2073236,1380,6386069,29626243,302354,29928597,36314666,27210622,631941,27842563
111/4,253510,4033722,2054555,1359,6343146,29587969,333988,29921957,36265103,27165203,632674,27797877
111/3,259623,4023380,2037466,1350,6321819,29536740,324245,29860985,36182804,27123989,632691,27756680
111/2,262020,4017276,2019863,1357,6300516,29520804,214310,29735114,36035630,27079426,633996,27713422
111/1,262367,4011604,2005268,1336,6280575,29566510,202923,29769433,36050008,27109478,636722,27746200
110/12,263975,4002953,1984757,1328,6253013,29580147,173162,29753309,36006322,27138127,637164,27775291
110/11,266222,3997162,1969765,1345,6234494,29585010,161609,29746619,35981113,27163384,641287,27804671
110/10,250401,4008049,1951261,1360,6211071,29563976,148350,29712326,35923397,27149004,645657,27794661
